,Account,Compound Score,DateTime,Negativity Score,Neutral Score,Positivity Score,Text
0,bbcworld,-0.6705,Mon Apr 09 16:40:43 +0000 2018,0.391,0.609,0.0,Virunga National Park: DR Congo rangers killed https://t.co/JnG2dOMATU
1,bbcworld,0.0,Mon Apr 09 15:59:20 +0000 2018,0.0,1.0,0.0,RT @BBCJonSopel: .@realDonaldTrump at Cabinet meeting says decision on Syria will be taken in next 24-48 hours. “This is about humanity and…
2,bbcworld,0.0,Mon Apr 09 15:56:35 +0000 2018,0.0,1.0,0.0,Finger bone points to early human exodus https://t.co/qNPmWQHu2V
3,bbcworld,-0.6597,Mon Apr 09 15:37:59 +0000 2018,0.328,0.672,0.0,"Indian school bus plunges into gorge, 'killing 27 children' https://t.co/pX5Fab5PFH"
4,bbcworld,-0.9231,Mon Apr 09 15:17:57 +0000 2018,0.412,0.588,0.0,RT @BBCNorthAmerica: A community hockey rink became a place of mourning and grief after 15 were killed in an ice hockey team bus crash #Hum…
5,bbcworld,0.3612,Mon Apr 09 14:44:55 +0000 2018,0.0,0.894,0.106,"RT @BBCJonSopel: .@realDonaldTrump #Syria policy.
11 days ago: ""We’ll be coming out - like, very soon""
10 days ago: Suspends $200 million s…"
6,bbcworld,0.0,Mon Apr 09 14:44:39 +0000 2018,0.0,1.0,0.0,China's first emperor flattened after wind fall https://t.co/U6kxIx31OM
7,bbcworld,-0.5423,Mon Apr 09 14:21:00 +0000 2018,0.36,0.64,0.0,Trump Tower fire victim Todd Brassner 'hated' living there https://t.co/lIe9i1BJCm
8,bbcworld,0.0,Mon Apr 09 14:03:04 +0000 2018,0.0,1.0,0.0,Thor director Taika Waititi says New Zealand is 'racist' https://t.co/1p8mlHburY
9,bbcworld,-0.3182,Mon Apr 09 13:59:54 +0000 2018,0.247,0.753,0.0,The Simpsons addresses Apu racial stereotype controversy https://t.co/ysSrnXe9JV
10,bbcworld,0.0,Mon Apr 09 13:50:36 +0000 2018,0.0,1.0,0.0,Uber to buy electric bicycle-sharing firm Jump https://t.co/Bm4EtVsGHj
11,bbcworld,-0.1027,Mon Apr 09 13:41:51 +0000 2018,0.135,0.865,0.0,Viktor Orban victory in Hungary: German minister warns EU https://t.co/G7kFIxAIp2
12,bbcworld,-0.4215,Mon Apr 09 13:41:51 +0000 2018,0.286,0.714,0.0,Belgrade's 'tiny head' Gagarin statue causes dismay https://t.co/PGlZQSOYwk
13,bbcworld,0.5719,Mon Apr 09 13:28:27 +0000 2018,0.0,0.844,0.156,"RT @BBC_HaveYourSay: Are you getting married on the day of the #RoyalWedding on May 19? 

Maybe you are... 
celebrating a multicultural or…"
14,bbcworld,0.0,Mon Apr 09 13:27:30 +0000 2018,0.0,1.0,0.0,RT @BBC_HaveYourSay: Why race comments by New Zealand film director @TaikaWaititi have caused a stir in his native country. https://t.co/eh…
15,bbcworld,-0.92,Mon Apr 09 13:17:16 +0000 2018,0.435,0.565,0.0,"RT @BBCNews: Prime Minister @theresa_may says UK ""utterly condemns use of chemical weapons"" following Douma poison gas attack, and says Syr…"
16,bbcworld,0.0,Mon Apr 09 13:12:27 +0000 2018,0.0,1.0,0.0,https://t.co/A7xR7gZH5R sex advert website seized by FBI https://t.co/2bJMcwg6Cp
17,bbcworld,0.0,Mon Apr 09 12:59:45 +0000 2018,0.0,1.0,0.0,Nigeria's Buhari to run in 2019 elections https://t.co/Zr4y73roKZ
18,bbcworld,0.0,Mon Apr 09 11:47:52 +0000 2018,0.0,1.0,0.0,Japan's baseball star Shohei Ohtani draws Babe Ruth comparisons https://t.co/W1txv83vMT
19,bbcworld,-0.765,Mon Apr 09 11:41:38 +0000 2018,0.487,0.513,0.0,Syria conflict: Russia says no evidence of Douma chemical attack https://t.co/CVF51rQyYG
20,bbcworld,-0.34,Mon Apr 09 11:03:39 +0000 2018,0.255,0.745,0.0,Facebook: Cambridge Analytica warning sent to users https://t.co/HcIjYp8gtd
21,bbcworld,-0.5719,Mon Apr 09 10:59:25 +0000 2018,0.316,0.684,0.0,A Quiet Place: The horror movie shaming cinema snack-eaters https://t.co/rgzEX6qpxn
22,bbcworld,0.0,Mon Apr 09 10:34:36 +0000 2018,0.0,1.0,0.0,"Geoffrey Rush 'irreparably damaged', defamation case told https://t.co/L7uioPHmNv"
23,bbcworld,0.4019,Mon Apr 09 10:34:36 +0000 2018,0.0,0.748,0.252,Shipping industry faces calls to clean up emissions https://t.co/96e1THKqct
24,bbcworld,0.4404,Mon Apr 09 10:31:52 +0000 2018,0.0,0.707,0.293,Brazil ex-leader Lula's supporters camp outside jail https://t.co/YK4liF6n9A
25,bbcworld,0.4588,Mon Apr 09 10:28:51 +0000 2018,0.204,0.395,0.401,"Good Friday Agreement - at 20, is it broken? https://t.co/UpDMff9ezt"
26,bbcworld,0.0772,Mon Apr 09 09:46:35 +0000 2018,0.0,0.86,0.14,Uganda court hears challenge to presidential age-limit move https://t.co/OWPNeNTh4q
27,bbcworld,-0.128,Mon Apr 09 09:13:16 +0000 2018,0.248,0.55,0.202,Russia sanctions: Shares in Deripaska-controlled firms crash https://t.co/BBvcML9SJV
28,bbcworld,-0.5859,Mon Apr 09 09:02:20 +0000 2018,0.275,0.725,0.0,Bill Cosby sexual assault retrial set to begin in Pennsylvania https://t.co/kp2Pok5HX1
29,bbcworld,0.25,Mon Apr 09 09:02:20 +0000 2018,0.188,0.556,0.257,"Commonwealth Games: Laurel Hubbard injured, Emily Campbell wins bronze https://t.co/vsty8pL3Nu"
